Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Australia,renewables_n_other,2012,0.228838139,0.262049088,1037.872,22780.32,254.7972341,5.592561056,0,45560.02725,Oceania
Canada,renewables_n_other,2012,3.672360942,3.85954942,1505.08,34714.22,412.4635794,9.513349082,0,43356.29607,Europe
Germany,renewables_n_other,2012,1.453315048,1.554199872,3738.753,80450.3,170.5717887,3.670355216,0,46472.82857,Africa
Japan,renewables_n_other,2012,1.320970641,1.341063828,5005.87,128407.5,161.3447512,4.138716374,0,38984.24936,Africa
New Zealand,renewables_n_other,2012,0.297569876,0.297514452,155.0815,4401.413,189.9259529,5.390343518,0,35234.48038,Africa
United Kingdom,renewables_n_other,2012,0.443090215,0.424221796,2574.544,63753.93,137.3148166,3.400353307,0,40382.51446,Oceania
United States of America,renewables_n_other,2012,8.856265213,8.892872786,17016.41,314178.5,300.4127442,5.546600332,0,54161.59922,Oceania
Australia,renewables_n_other,2013,0.286833798,0.322728405,1060.76,23168.3,250.4266324,5.469624936,0,45784.97343,Oceania
Canada,renewables_n_other,2013,3.850116065,4.050090769,1540.137,35082.95,420.1037736,9.569590032,0,43899.87159,Europe
Germany,renewables_n_other,2013,1.510869482,1.653261104,3759.386,80676.08,173.1301849,3.715357946,0,46598.5209,Africa
Japan,renewables_n_other,2013,1.479964567,1.456019566,5108.11,128297,161.444288,4.054888759,0,39814.72677,Africa
New Zealand,renewables_n_other,2013,0.30116397,0.301163173,158.5087,4431.982,192.1441864,5.37244691,0,35764.74363,Africa
United Kingdom,renewables_n_other,2013,0.597219634,0.546266019,2623.203,64173.02,136.0293846,3.327770065,0,40877.03836,Oceania
United States of America,renewables_n_other,2013,9.45896244,9.432722028,17329.82,316569,306.8055881,5.60450935,0,54742.63115,Oceania
Australia,renewables_n_other,2014,0.322869124,0.35429912,1087.884,23514.83,244.554375,5.286091673,0,46263.7408,Oceania
Canada,renewables_n_other,2014,3.802813896,3.99258256,1584.338,35437.45,417.5823543,9.340212631,0,44708.0137,Europe
Germany,renewables_n_other,2014,1.603663821,1.77350855,3842.232,81036.25,166.7131432,3.516135399,0,47413.74385,Africa
Japan,renewables_n_other,2014,1.667397779,1.58889629,5119.15,128150.5,157.2059693,3.93542357,0,39946.39116,Africa
New Zealand,renewables_n_other,2014,0.322112807,0.32204003,163.6002,4489.612,199.4413524,5.473185785,0,36439.71907,Africa
United Kingdom,renewables_n_other,2014,0.731601767,0.65221707,2701.667,64662.48,127.9449951,3.062272547,0,41781.06067,Oceania
United States of America,renewables_n_other,2014,9.752190324,9.788768429,17726.25,319083.2,308.0326412,5.544773478,0,55553.69258,Oceania
Australia,renewables_n_other,2015,0.289596282,0.321443937,1113.001,23859.35,242.1599504,5.191171448,0,46648.42085,Oceania
Canada,renewables_n_other,2015,3.710567464,3.940528952,1594.781,35702.9,411.8905053,9.22113163,0,44668.10819,Europe
Germany,renewables_n_other,2015,1.74695918,1.968009607,3890.031,81808.88,167.1495748,3.515221217,0,47550.22927,Africa
Japan,renewables_n_other,2015,1.76778819,1.714192401,5200.87,127966.8,154.2684774,3.795757901,0,40642.33848,Africa
New Zealand,renewables_n_other,2015,0.3243267,0.324249458,170.5286,4577.105,194.3093153,5.215395768,0,37256.8687,Africa
United Kingdom,renewables_n_other,2015,0.918285613,0.827919321,2772.521,65178.82,128.2730548,3.015553841,0,42537.14627,Oceania
United States of America,renewables_n_other,2015,9.73741173,9.753873386,18206.03,321618,302.819149,5.349441316,0,56607.62146,Oceania
Australia,renewables_n_other,2016,0.327769282,0.350122415,1143.082,24238.52,247.9240351,5.257113386,0,47159.72757,Oceania
Canada,renewables_n_other,2016,3.751990921,3.989898136,1610.753,36109.48,404.7434935,9.073443963,0,44607.48258,Europe
Germany,renewables_n_other,2016,1.708407093,1.972976257,3973.237,82391.95,166.9956953,3.462944944,0,48223.6068,Africa
Japan,renewables_n_other,2016,1.764676203,1.736880915,5238.49,127744.8,154.1602495,3.759321911,0,41007.46175,Africa
New Zealand,renewables_n_other,2016,0.334316153,0.333970672,177.3747,4677.248,194.4744707,5.128157112,0,37922.87687,Africa
United Kingdom,renewables_n_other,2016,0.907662172,0.834623133,2835.276,65687.88,126.2820232,2.925711072,0,43162.84831,Oceania
