Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP per capita,Region
Nicaragua,all_energy_types,2019,0.097635202,0.024788736,33.5562,6544.65,14.91832284,2.909602446,5.027809,5127.271894,Central America and Caribbean
Niger,all_energy_types,2019,0.035890187,0.029156879,28.87,23338.6,1.537803755,1.243165456,2.276804081,1237.006504,Africa
Nigeria,all_energy_types,2019,1.701414628,6.024305327,1015.889,201050.8,8.462610585,1.674803673,101.1939254,5052.897079,Africa
Niue,all_energy_types,2019,0.000110006,0,,,0,0,0.007517555,#DIV/0!,Oceania
North Korea,all_energy_types,2019,0.323656712,0.572483421,43.1394,25662.5,12.61204918,7.502577971,20.15399531,1681.028738,Asia
North Macedonia,all_energy_types,2019,0.111615056,0.044964097,31.7368,2082.92,53.58585834,3.516896979,6.539300393,15236.68696,Europe
Northern Mariana Islands,all_energy_types,2019,0,0,,57.216,0,0,0,0,Oceania
Norway,all_energy_types,2019,1.786945046,8.857427879,330.2825,5352.817,333.8326429,5.410353398,38.0557849,61702.55774,Europe
Oman,all_energy_types,2019,1.348559667,3.40691352,141.208,4618,292.0224485,9.550164774,75.86964058,30577.73928,Asia
Pakistan,all_energy_types,2019,3.434414202,1.92766379,1039.88,216564,15.85865704,3.30270243,192.8969939,4801.721431,Asia
Palestinian Territories,all_energy_types,2019,0.067840849,2.46E-06,14.0824,4986.96,13.60364816,4.81742098,3.277635491,2823.844587,Asia
Panama,all_energy_types,2019,0.42017008,0.073876488,118.865,4245.43,98.96997002,3.534851132,26.79318633,27998.34175,Central America and Caribbean
Papua New Guinea,all_energy_types,2019,0.099309337,0.50549908,32.4518,8777.36,11.3142604,3.060210424,6.323287075,3697.216475,Oceania
Paraguay,all_energy_types,2019,0.442226836,0.447363658,86.3046,7044.04,62.78028456,5.12402393,8.338166715,12252.14508,South America
Peru,all_energy_types,2019,1.185506097,1.167251997,402.28,32462.7,36.51902326,2.946967526,52.91849618,12392.06844,South America
Philippines,all_energy_types,2019,2.085843453,0.681801919,949.711,108296.2,19.26054149,2.196292823,135.2163117,8769.569015,Asia
Poland,all_energy_types,2019,4.289824207,2.361311535,1217.987,37963.62,112.9982917,3.52206075,319.670314,32083.00473,Europe
Portugal,all_energy_types,2019,1.04671084,0.258757094,342.6999,10288.67,101.7343194,3.0543074,53.51832098,33308.47427,Europe
Puerto Rico,all_energy_types,2019,0.295735283,0.024246839,66.9118,2961.78,99.85052337,4.419777724,     ,22591.75226,Central America and Caribbean
Qatar,all_energy_types,2019,2.04697696,9.652517,247.046,2828.95,723.5818802,8.285813007,105.3412027,87327.80714,Asia
Reunion,all_energy_types,2019,0.04832096,0.009650155,24.8272,888.916,54.3594217,1.946291152,2.722415119,27929.74814,Central America and Caribbean
Romania,all_energy_types,2019,1.388873286,1.03585107,522.905,19360.95,71.73580255,2.656071918,73.68411862,27008.23048,Europe
Russia,all_energy_types,2019,33.24653323,64.27799556,3770.42,145876.3,227.9090794,8.817726734,1798.242239,25846.6934,Europe
Rwanda,all_energy_types,2019,0.0215229,0.004532136,27.008,12628.5,1.704311685,0.796908328,1.10937668,2138.65463,Africa
Saint Helena,all_energy_types,2019,0.000183457,0,,,0,0,0.0098209,#DIV/0!,Europe
Saint Kitts and Nevis,all_energy_types,2019,0.003799077,6.77E-05,1.36317,52.7944,71.95984423,2.786942788,0.268462136,25820.35216,Central America and Caribbean
Saint Lucia,all_energy_types,2019,0.009299183,2.82E-05,2.71244,182.738,50.88806514,3.428346156,0.451661075,14843.32761,Central America and Caribbean
